,receive
2023-07,12065.511999999999
2023-08,45637.11200000001
2023-09,234592.13852
2023-10,785311.24096
2023-11,1926410.50364
2023-12,438880.32592
2024-01,608276.00312
2024-02,84544.27828
2024-03,58196.637200000005
2024-04,46746.444279999996
2024-05,31449.66
2024-06,183366.83956
